latitude,longitude,precip_detection,precip_quantile,tp_rollingmax,drought_quantile,drought_detection,DisNo.,iso,disaster_type,start_date,end_date,event_index,start_drought_days,drought_index,precip_var,year,BARE,BUILT,GRASS-MAN,GRASS-NAT,SHRUBS,TREES,WATER,rank
17.9,95.2,tp_rollingmax,0.95,0.1626921549556216,0.15,pei_90,2016-0232-MMR,MMR,Flood,2016-06-01,2016-06-24,53,40,pei_90,tp_rollingmax,2016,0.0,3.771889400921659,92.39400921658986,3.1313364055299537,0.0,0.7027649769585254,0.0,4.0
26.1,85.7,tp_rollingmax,0.95,0.0391048895901818,0.15,pei_90,2016-0234-IND,IND,Storm,2016-06-12,2016-06-12,360,40,pei_90,tp_rollingmax,2016,0.0,0.0,94.92717391304348,0.7,0.0,0.0728260869565217,4.3,4.0
27.8,81.0,tp_rollingmax,0.95,0.0767522708464607,0.15,pei_90,2016-0237-IND,IND,Storm,2016-06-20,2016-06-21,361,40,pei_90,tp_rollingmax,2016,0.2145922746781116,0.0,91.62446351931332,1.9721030042918453,0.0,0.0064377682403433,6.182403433476395,4.0
-11.3,39.0,tp_rollingmax,0.95,0.036544908699835,0.15,pei_90,2016-0248-MOZ,MOZ,Flood,2016-01-05,2016-01-29,54,40,pei_90,tp_rollingmax,2016,0.0,0.0,0.0,57.58014354066986,22.473684210526315,19.946172248803823,0.0,4.0
15.8,5.3,tp_rollingmax,0.95,0.0356691953753186,0.15,pei_30,2016-0269-NER,NER,Flood,2016-06-01,2016-09-07,55,40,pei_30,tp_rollingmax,2016,1.6238317757009346,0.0,0.9345794392523364,97.44158878504672,0.0,0.0,0.0,4.0
15.0,-1.3,tp_rollingmax,0.95,0.0628973244176281,0.15,pei_90,2016-0272-MLI,MLI,Flood,2016-07-11,2016-07-23,56,40,pei_90,tp_rollingmax,2016,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.0
24.5,81.5,tp_rollingmax,0.95,0.2072639049884448,0.15,pei_90,2016-0276-IND,IND,Flood,2016-07-09,2016-08-22,57,40,pei_90,tp_rollingmax,2016,0.0,0.0616740088105726,85.39757709251101,13.888766519823788,0.6519823788546255,0.0,0.0,4.0
14.7,-1.3,tp_rollingmax,0.95,0.0551415350291076,0.15,pei_90,2016-0287-BFA,BFA,Flood,2016-06-21,2016-07-16,58,40,pei_90,tp_rollingmax,2016,0.8037383177570093,0.0,7.8235981308411215,88.43457943925233,2.747663551401869,0.1904205607476635,0.0,4.0
45.9,27.4,tp_rollingmax,0.95,0.0900988968623661,0.15,pei_90,2016-0426-ROU,ROU,Flood,2016-10-09,2016-10-16,63,40,pei_90,tp_rollingmax,2016,0.0,5.286317567567568,89.88344594594595,4.764358108108108,0.0,0.0658783783783783,0.0,4.0
45.5,29.5,tp_rollingmax,0.95,0.0779067158995544,0.15,pei_90,2016-0427-UKR,UKR,Flood,2016-10-12,2016-10-16,64,40,pei_90,tp_rollingmax,2016,0.0,1.4406779661016949,15.125423728813558,63.6864406779661,10.08813559322034,0.6127118644067797,9.046610169491526,4.0
