latitude,longitude,precip_detection,precip_quantile,tp_rollingmax,drought_quantile,drought_detection,DisNo.,iso,disaster_type,start_date,end_date,event_index,start_drought_days,drought_index,precip_var,year,BARE,BUILT,GRASS-MAN,GRASS-NAT,SHRUBS,TREES,WATER,obs_type,has_control,elevation,elevation_diff,lc_distance,drought_index_value
30.0,-90.8,tp_rollingmax,0.95,0.1203026808699969,0.15,pei_90,2015-0488-USA,USA,Storm,2015-10-29,2015-11-03,351.0,40,pei_90,tp_rollingmax,2015,0.1814345991561181,1.6265822784810129,72.00738396624473,2.678270042194093,0.0,8.64451476793249,14.86181434599156,event,none,8.0,0.0,0.0,-1.6093991994857788
3.8,43.9,tp_rollingmax,0.95,0.0739914516195294,0.15,pei_30,2015-0544-SOM,SOM,Flood,2015-03-01,2015-04-15,36.0,40,pei_30,tp_rollingmax,2015,0.0,0.0,0.0,10.25609756097561,89.7439024390244,0.0,0.0,event,both,606.0,0.0,0.0,-7.26767110824585
7.8,39.2,tp_rollingmax,0.95,0.0753209873013655,0.15,pei_90,2016-0101-ETH,ETH,Flood,2016-04-02,2016-04-07,41.0,40,pei_90,tp_rollingmax,2016,0.0,0.0,88.95853658536585,0.498780487804878,0.0,10.542682926829269,0.0,event,P_only,2626.0,0.0,0.0,-2.0543978214263916
-34.7,-56.0,tp_rollingmax,0.95,0.1009060341748347,0.15,pei_90,2016-0115-URY,URY,Flood,2016-04-12,2016-05-11,42.0,40,pei_90,tp_rollingmax,2016,0.0,6.350198412698413,22.46626984126984,66.99503968253968,0.6607142857142857,3.5277777777777777,0.0,event,none,47.0,0.0,0.0,-2.701869010925293
-33.3,-70.5,tp_rollingmax,0.95,0.0832181432399855,0.15,pei_90,2016-0118-CHL,CHL,Flood,2016-04-15,2016-04-18,43.0,40,pei_90,tp_rollingmax,2016,1.131578947368421,1.4615384615384617,0.3016194331983806,66.29554655870446,20.946356275303643,9.79251012145749,0.0708502024291498,event,P_only,1444.0,0.0,0.0,-3.809030055999756
24.3,96.5,tp_rollingmax,0.95,0.028223640642269,0.15,pei_30,2016-0138-MMR,MMR,Storm,2016-04-21,2016-04-23,355.0,40,pei_30,tp_rollingmax,2016,0.0,0.0,67.96688741721854,8.48896247240618,0.249448123620309,5.799116997792495,17.495584988962474,event,D_only,98.0,0.0,0.0,-4.026471138000488
6.9,80.0,tp_rollingmax,0.95,0.2292658806640037,0.15,pei_90,2016-0153-LKA,LKA,Flood,2016-05-14,2016-05-15,47.0,40,pei_90,tp_rollingmax,2016,0.0,36.50731707317073,29.21829268292683,19.740243902439023,0.2695121951219512,14.129268292682926,0.1353658536585366,event,P_only,28.0,0.0,0.0,-2.1109163761138916
2.1,40.9,tp_rollingmax,0.95,0.135394006847031,0.15,pei_90,2016-0161-KEN,KEN,Flood,2016-04-29,2016-05-02,48.0,40,pei_90,tp_rollingmax,2016,0.0,0.0,0.0,76.96829268292683,23.03170731707317,0.0,0.0,event,none,265.0,0.0,0.0,-6.807974338531494
21.6,92.1,tp_rollingmax,0.95,0.0722236611895675,0.15,pei_90,2016-0175-BGD,BGD,Storm,2016-05-21,2016-05-21,357.0,40,pei_90,tp_rollingmax,2016,0.0,0.0,69.73068181818182,10.227272727272728,3.0613636363636365,16.68522727272727,0.2954545454545454,event,P_only,33.0,0.0,0.0,-3.8763976097106934
14.8,9.7,tp_rollingmax,0.95,0.1168631125527234,0.15,pei_90,2016-0219-NER,NER,Flood,2016-06-20,2016-10-15,52.0,40,pei_90,tp_rollingmax,2016,8.841121495327103,0.0,7.242990654205608,83.91588785046729,0.0,0.0,0.0,event,D_only,474.0,0.0,0.0,-7.307323932647705
